Objective,Arch,Prompt,Model,Scenario,num_runs,num_seeds,seeds,mean_total_deliveries,std_total_deliveries,mean_total_steps,std_total_steps,mean_deliveries_per_1000_steps,std_deliveries_per_1000_steps,mean_llm_calls_per_1000_steps,std_llm_calls_per_1000_steps,mean_llm_calls_per_delivery,std_llm_calls_per_delivery,mean_invalid_action_rate,std_invalid_action_rate,mean_json_failure_rate,std_json_failure_rate,mean_charging_station_utilization_rate,std_charging_station_utilization_rate,mean_steps_to_first_delivery,std_steps_to_first_delivery
Shelf Deliveries,Centralized,Json,gemma 12b,tiny_balanced_1v1,1,1,0,1,,233,,4.29184549356,,317.596566524,,74,,0,,,,,,33,
Shelf Deliveries,Centralized,Json,gemma 12b,small_picker_heavy_2v4,1,1,0,0,,200,,0,,660,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,gemma 12b,small_balanced_2v2,1,1,0,1,,343,,2.91545189504,,591.836734694,,203,,0,,,,,,143,
Shelf Deliveries,Centralized,Json,gemma 12b,small_agv_heavy_4v2,1,1,0,0,,200,,0,,905,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,gemma 12b,medium_balanced_4v4,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,gemma 12b,medium_agv_heavy_6v2,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,phi4,tiny_balanced_1v1,1,1,0,1,,233,,4.29184549356,,416.309012876,,97,,0,,,,,,33,
Shelf Deliveries,Centralized,Json,phi4,small_picker_heavy_2v4,1,1,0,1,,337,,2.96735905045,,495.548961424,,167,,0,,,,,,137,
Shelf Deliveries,Centralized,Json,phi4,small_balanced_2v2,1,1,0,2,,292,,6.84931506849,,479.452054795,,70,,0,,,,,,62,
Shelf Deliveries,Centralized,Json,phi4,small_agv_heavy_4v2,1,1,0,4,,491,,8.1466395112,,682.281059063,,83.75,,0,,,,,,76,
Shelf Deliveries,Centralized,Json,phi4,medium_balanced_4v4,1,1,0,0,,200,,0,,180,,,,0,,,,,,,
