Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Calls,Centralized,Natural,mistral 7b,medium_agv_heavy_6v2,0,session_20260423_193725,623,NA,3842,0.09698932926829268,35785.424305438995,76,3,656,4.573170731707317,949.6951219512196,207.66666666666666,6.166934189406099,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/medium_agv_heavy_6v2/language/summary.json
Calls,Centralized,Natural,mistral 7b,medium_balanced_4v4,0,session_20260423_193725,690,NA,4323,0.13858321870701512,39976.01806974411,227,1,727,1.375515818431912,949.1059147180192,690.0,6.265217391304348,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/medium_balanced_4v4/language/summary.json
Calls,Centralized,Natural,mistral 7b,small_agv_heavy_4v2,0,session_20260423_193725,500,NA,2958,0.0,29828.949582099915,,0,500,0.0,1000.0,,5.916,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/small_agv_heavy_4v2/language/summary.json
Calls,Centralized,Natural,mistral 7b,small_picker_heavy_2v4,0,session_20260423_193725,674,NA,2690,0.2811515969410706,34329.45178580284,51,2,741,2.699055330634278,909.5816464237516,337.0,3.9910979228486645,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,mistral 7b,medium_agv_heavy_6v2,0,session_cps_20260618,3259,NA,16,0.19511935208866155,7145.010686635971,40,19,1173,16.19778346121057,2778.3461210571186,171.52631578947367,0.00490948143602332,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/mistral_7b/medium_agv_heavy_6v2/language/summary.json
Battery + Shelf,Shared,Natural,mistral 7b,medium_balanced_4v4,0,session_cps_20260618,919,NA,0,0.017008196721311476,3125.2398471832275,46,4,610,6.557377049180328,1506.5573770491803,229.75,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/mistral_7b/medium_balanced_4v4/language/summary.json
Battery + Shelf,Shared,Natural,mistral 7b,small_agv_heavy_4v2,0,session_cps_20260618,3185,NA,0,0.16866552446221206,5622.814741849899,41,19,1751,10.850942318675044,1818.9605939463163,167.6315789473684,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/mistral_7b/small_agv_heavy_4v2/language/summary.json
Battery + Shelf,Shared,Natural,mistral 7b,small_balanced_2v2,0,session_cps_20260618,1207,NA,0,0.21423076923076922,1723.2616415023804,39,3,650,4.615384615384615,1856.923076923077,402.3333333333333,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/mistral_7b/small_balanced_2v2/language/summary.json
Battery + Shelf,Shared,Natural,mistral 7b,small_picker_heavy_2v4,0,session_cps_20260618,3070,NA,0,0.04028520499108734,6773.5613532066345,24,8,935,8.556149732620321,3283.422459893048,383.75,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/mistral_7b/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,phi4,tiny_balanced_1v1,0,session_cps_20260626,157,NA,0,0.09719626168224299,1353.6529030799866,35,1,535,1.8691588785046729,293.4579439252336,157.0,0.0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260626/phi4/tiny_balanced_1v1/language/summary.json
